source_path,target_path,classification,direct_owner,imports,package_data,tests,conflict,action,status,evidence
src/pe_claw_gui/app/shell/workspace.py,src/pe_claw_gui/app/shell/workspace.py,adapt,report workspace,category views; result views; topology capabilities,none,phase10_gui_integration,source result routing is broader than target,merge DC-AC tabs while preserving target result contract,planned_step7,source/target hash audit
src/pe_claw_gui/app/controllers/__init__.py,src/pe_claw_gui/app/controllers/__init__.py,keep,controller exports,controller classes,none,phase10_gui_integration,SHA-256 identical,retain target exports,baseline_confirmed,source/target hash audit
src/pe_claw_gui/app/controllers/run_design_controller.py,src/pe_claw_gui/app/controllers/run_design_controller.py,adapt,design controller,pipeline; state store,none,phase9_dc_ac_topologies,source references design assessment pipeline excluded from this scope,remove excluded coupling and preserve DC-AC design handoff,planned_step7,source/target hash audit
src/pe_claw_gui/app/controllers/waveform_controller.py,src/pe_claw_gui/app/controllers/waveform_controller.py,adapt,waveform controller,operating point; refresh pipeline,none,phase9_dc_ac_topologies; operating refresh,source has assessment coupling and target has simpler refresh path,merge fixed-hardware refresh contract,planned_step7,source/target hash audit
src/pe_claw_gui/app/controllers/device_controller.py,src/pe_claw_gui/app/controllers/device_controller.py,keep,device controller,state store,none,device refresh tests,SHA-256 identical,retain target controller,baseline_confirmed,source/target hash audit
src/pe_claw_gui/app/controllers/efficiency_sweep_controller.py,src/pe_claw_gui/app/controllers/efficiency_sweep_controller.py,adapt,efficiency controller,efficiency pipeline; state store,none,efficiency tests,source references excluded assessment path,adapt only when DC-AC downstream step is active,planned_step8,source/target hash audit
src/pe_claw_gui/app/controllers/export_controller.py,src/pe_claw_gui/app/controllers/export_controller.py,keep,export controller,state store,none,export tests,SHA-256 identical,retain target controller,baseline_confirmed,source/target hash audit
src/pe_claw_gui/pipeline/run_topology_pipeline.py,src/pe_claw_gui/pipeline/run_topology_pipeline.py,merge,topology pipeline,registry; models; plugin contract,none,phase9_dc_ac_topologies,shared orchestration differs across source and target,verify DC-AC waveform and stress handoff,planned_step2,source/target hash audit
src/pe_claw_gui/pipeline/run_full_pipeline.py,src/pe_claw_gui/pipeline/run_full_pipeline.py,merge,full design pipeline,topology; device; loss; thermal; geometry,none,phase9_dc_ac_topologies,source and target stage gating differs,merge DC-AC selection and downstream gates,planned_step8,source/target hash audit
src/pe_claw_gui/pipeline/run_operating_point_refresh.py,src/pe_claw_gui/pipeline/run_operating_point_refresh.py,merge,operating refresh,topology; device; capacitor; loss; thermal,none,phase9_operating_point_migration; refresh tests,source and target have different refresh stage set,merge fixed-hardware DC-AC refresh order,planned_step7,source/target hash audit
src/pe_claw_gui/pipeline/run_device_pipeline.py,src/pe_claw_gui/pipeline/run_device_pipeline.py,merge,semiconductor pipeline,inverter loss; selector; role map; device models,semiconductor XML records,device refresh tests,source and target differ in shared accumulated topology support,merge only after role and loss closure is verified,planned_step8,source/target hash audit
src/pe_claw_gui/pipeline/run_capacitor_pipeline.py,src/pe_claw_gui/pipeline/run_capacitor_pipeline.py,keep,capacitor pipeline,capacitor engines; models; capability map,capacitor CSV data,capacitor tests,SHA-256 identical,retain target pipeline and test DC-link selectors,baseline_confirmed,source/target hash audit
src/pe_claw_gui/pipeline/run_magnetic_pipeline.py,src/pe_claw_gui/pipeline/run_magnetic_pipeline.py,merge,magnetic pipeline,inductor adapter; magnetic engines; models,normalized magnetic JSON/CSV,magnetic refresh tests,source and target differ in backend evolution,merge DC-AC per-phase/output-inductor path only,planned_step8,source/target hash audit
src/pe_claw_gui/pipeline/run_loss_pipeline.py,src/pe_claw_gui/pipeline/run_loss_pipeline.py,merge,loss pipeline,device; magnetic; capacitor; thermal models,none,loss tests,shared loss contract differs across accumulated migrations,verify inverter loss readback and units,planned_step8,source/target hash audit
src/pe_claw_gui/pipeline/run_thermal_pipeline.py,src/pe_claw_gui/pipeline/run_thermal_pipeline.py,merge,thermal pipeline,device and loss models,none,thermal tests,shared thermal contract differs across accumulated migrations,verify DC-AC first-pass thermal boundary,planned_step8,source/target hash audit
src/pe_claw_gui/models/waveform.py,src/pe_claw_gui/models/waveform.py,keep,waveform model,dataclasses,none,phase9_dc_ac_topologies,SHA-256 identical,retain model contract,baseline_confirmed,source/target hash audit
src/pe_claw_gui/models/operating_point.py,src/pe_claw_gui/models/operating_point.py,keep,operating-point model,dataclasses,none,phase9_operating_point_migration,SHA-256 identical,retain model contract,baseline_confirmed,source/target hash audit
src/pe_claw_gui/models/design_report.py,src/pe_claw_gui/models/design_report.py,keep,report handoff,shared result models,none,phase4_topology_contracts; phase9_dc_ac_topologies,SHA-256 identical,retain model contract,baseline_confirmed,source/target hash audit
src/pe_claw_gui/models/stress_result.py,src/pe_claw_gui/models/stress_result.py,adapt,stress model,dataclasses,none,phase9_dc_ac_topologies,source and target differ in metadata fields,compare fields before shared-contract migration,planned_step2,source/target hash audit
src/pe_claw_gui/topology_capabilities.py,src/pe_claw_gui/topology_capabilities.py,keep,capability routing,topology IDs,none,phase9_dc_ac_topologies,SHA-256 identical,retain DC-link/split-link capability map,baseline_confirmed,source/target hash audit
src/pe_claw_gui/engines/devices/inverter_segmented_loss.py,src/pe_claw_gui/engines/devices/inverter_segmented_loss.py,keep,inverter switch loss,device loss models,none,phase9_dc_ac_topologies,SHA-256 identical,retain target inverter loss kernel,baseline_confirmed,source/target hash audit
src/pe_claw_gui/engines/devices/stress_adapter.py,src/pe_claw_gui/engines/devices/stress_adapter.py,keep,stress adapter,stress result; device result,none,device refresh tests,SHA-256 identical,retain target adapter,baseline_confirmed,source/target hash audit
src/pe_claw_gui/libraries/semiconductors/topology_roles.py,src/pe_claw_gui/libraries/semiconductors/topology_roles.py,keep,semiconductor role map,registry; topology IDs,semiconductor XML data,phase9_dc_ac_topologies,SHA-256 identical,retain target role map,baseline_confirmed,source/target hash audit
src/pe_claw_gui/libraries/semiconductors/registry.py,src/pe_claw_gui/libraries/semiconductors/registry.py,keep,semiconductor catalog,XML loader; device models,semiconductor XML data,semiconductor registry tests,SHA-256 identical,retain target catalog,baseline_confirmed,source/target hash audit
src/pe_claw_gui/libraries/capacitors/registry.py,src/pe_claw_gui/libraries/capacitors/registry.py,keep,capacitor catalog,capacitor records; models,capacitor CSV data,capacitor registry tests,SHA-256 identical,retain target catalog,baseline_confirmed,source/target hash audit
src/pe_claw_gui/libraries/magnetics/normalized_backend_loader.py,src/pe_claw_gui/libraries/magnetics/normalized_backend_loader.py,keep,magnetic catalog,normalized backend,normalized magnetic JSON,magnetic backend tests,SHA-256 identical,retain packaged normalized-v2 backend,baseline_confirmed,source/target hash audit
src/pe_claw_gui/app/result_views/waveform_view.py,src/pe_claw_gui/app/result_views/waveform_view.py,adapt,waveform result view,WaveformSet; Tk; matplotlib,none,phase10_gui_integration,source has broader renderer and target has compact view,merge topology-specific labels without changing model,planned_step7,source/target hash audit
src/pe_claw_gui/app/result_views/summary_view.py,src/pe_claw_gui/app/result_views/summary_view.py,adapt,summary result view,DesignReport; capability map,none,phase10_gui_integration,source has additional result sections,merge DC-AC summary fields and limitation notes,planned_step8,source/target hash audit
src/pe_claw_gui/app/result_views/stress_view.py,src/pe_claw_gui/app/result_views/stress_view.py,adapt,stress result view,StressResult,none,phase10_gui_integration,source has topology-specific role display,merge switch/clamp role labels,planned_step7,source/target hash audit
src/pe_claw_gui/app/result_views/loss_view.py,src/pe_claw_gui/app/result_views/loss_view.py,adapt,loss result view,LossResult; DesignReport,none,loss view tests,source and target result contracts differ,adapt after inverter loss contract is fixed,planned_step8,source/target hash audit
src/pe_claw_gui/app/result_views/hardware_overview_view.py,src/pe_claw_gui/app/result_views/hardware_overview_view.py,adapt,hardware overview,device; capacitor; magnetic results,none,hardware overview tests,source and target downstream display scopes differ,merge DC-link and per-phase hardware groups,planned_step8,source/target hash audit
src/pe_claw_gui/app/result_views/inductor_view.py,src/pe_claw_gui/app/result_views/inductor_view.py,adapt,inductor result view,magnetic result,none,magnetic view tests,source view includes broader inductor handling,adapt to DC-AC output inductor contract,planned_step8,source/target hash audit
src/pe_claw_gui/app/result_views/capacitor_view.py,src/pe_claw_gui/app/result_views/capacitor_view.py,keep,capacitor result view,capacitor result,none,capacitor view tests,target view already owns DC-link display,retain and verify split-bank labels,baseline_confirmed,source/target hash audit
src/pe_claw_gui/app/result_views/__init__.py,src/pe_claw_gui/app/result_views/__init__.py,merge,result view exports,result view classes,none,phase10_gui_integration,source exports differ from target,merge only required DC-AC views,planned_step7,source/target hash audit
tests/test_dc_ac_single_phase_full_bridge_inverter.py,tests/test_dc_ac_single_phase_full_bridge_inverter.py,add,single-phase deterministic test,topology plugin; models,none,source topology test,not present in target baseline,add in dedicated topology test step,planned_step4,source inventory and target missing check
tests/test_dc_ac_three_phase_two_level_inverter.py,tests/test_dc_ac_three_phase_two_level_inverter.py,add,two-level deterministic test,topology plugin; models,none,source topology test,not present in target baseline,add in dedicated topology test step,planned_step5,source inventory and target missing check
tests/test_dc_ac_three_phase_three_level_npc_inverter.py,tests/test_dc_ac_three_phase_three_level_npc_inverter.py,add,NPC deterministic test,topology plugin; models,none,source topology test,not present in target baseline,add in dedicated topology test step,planned_step6,source inventory and target missing check
tests/test_agentic_dc_ac_backend_session.py,tests/test_agentic_dc_ac_backend_session.py,exclude,agentic test,agentic session; design request runner,none,none,target deliberately excludes agentic runtime,do not migrate,excluded,agentic exclusion audit
tests/test_agentic_dc_ac_md_first_regression.py,tests/test_agentic_dc_ac_md_first_regression.py,exclude,agentic test,md-first request; agentic runner,none,none,target deliberately excludes md-first execution,do not migrate,excluded,agentic exclusion audit
tests/test_dc_ac_placeholder_topologies.py,tests/test_dc_ac_placeholder_topologies.py,exclude,legacy placeholder test,placeholder topology modules,none,none,target has executable DC-AC plugins instead,do not migrate,excluded,scope exclusion audit
design_requests/15_single_phase_full_bridge_inverter/**,design_requests/15_single_phase_full_bridge_inverter/**,exclude,agentic design requests,design request parser; runner,none,none,design requests are outside deterministic GUI scope,do not migrate,excluded,agentic exclusion audit
outputs/**,outputs/**,exclude,generated runtime outputs,none,none,none,user-generated outputs must be preserved but never committed,do not copy or stage,excluded,dc_ac_step0_baseline.md
src/pe_claw_gui/agentic/**,src/pe_claw_gui/agentic/**,exclude,agentic runtime,agentic execution chain,none,none,explicitly excluded by plan,do not migrate,excluded,dc_ac_implementation_migration_plan.md
src/pe_claw_gui/agents/**,src/pe_claw_gui/agents/**,exclude,agent helpers,agent modules,none,none,explicitly excluded by plan,do not migrate,excluded,dc_ac_implementation_migration_plan.md
skills/**,skills/**,exclude,skills package,skill definitions,none,none,explicitly excluded by plan,do not migrate,excluded,dc_ac_implementation_migration_plan.md
